sample_index,timestamp,source_file,activity_hint,L1_g,L2_g,L3_g,L4_g,L5_g,L6_g,L7_g,L8_g,L9_g,L10_g,L11_g,L12_g,L13_g,L14_g,L15_g,L16_g,L17_g,L18_g
25,2026-05-14 22:58:52,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2026-05-14 22:58:52,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2026-05-14 22:58:52,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2026-05-14 22:58:52,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2026-05-14 22:58:52,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2026-05-14 22:58:52,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2026-05-14 22:58:52,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2026-05-14 22:58:52,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2026-05-14 22:58:53,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2026-05-14 22:58:54,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2026-05-14 22:58:55,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2026-05-14 22:58:56,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2026-05-14 22:58:57,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2026-05-14 22:58:57,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2026-05-14 22:58:57,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2026-05-14 22:58:57,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2026-05-14 22:58:57,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2026-05-14 22:58:57,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2026-05-14 22:58:57,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2026-05-14 22:58:57,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2026-05-14 22:58:57,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,2026-05-14 22:58:57,2026-5-14_levelground 2_left.csv,level_walking,0.0,0.0,2847.0,621.0,0.0,0.0,0.0,0.0,1386.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
